Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (127_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (131, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance: F1: 126, Sample, Treatment_rep2"	"Abundance: F1: 127_N, Sample, Treatment_rep2"	"Abundance: F1: 127_C, Sample, Treatment_rep2"	"Abundance: F1: 128_N, Sample, Treatment_rep2"	"Abundance: F1: 128_C, Sample, Treatment_rep2"	"Abundance: F1: 129_N, Sample, Treatment_rep2"	"Abundance: F1: 129_C, Sample, Treatment_rep2"	"Abundance: F1: 130_N, Sample, Treatment_rep2"	"Abundance: F1: 130_C, Sample, Treatment_rep2"	"Abundance: F1: 131, Sample, Treatment_rep2"	"Abundances Count: F1: 126, Sample, Treatment_rep2"	"Abundances Count: F1: 127_N, Sample, Treatment_rep2"	"Abundances Count: F1: 127_C, Sample, Treatment_rep2"	"Abundances Count: F1: 128_N, Sample, Treatment_rep2"	"Abundances Count: F1: 128_C, Sample, Treatment_rep2"	"Abundances Count: F1: 129_N, Sample, Treatment_rep2"	"Abundances Count: F1: 129_C, Sample, Treatment_rep2"	"Abundances Count: F1: 130_N, Sample, Treatment_rep2"	"Abundances Count: F1: 130_C, Sample, Treatment_rep2"	"Abundances Count: F1: 131, Sample, Treatment_rep2"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P05937	Calbindin OS=Homo sapiens GN=CALB1 PE=1 SV=2	44.44444444	11	29	11	1	261	30.006	4.83		793	ENSG00000104327	CALB1	8	cellular homeostasis;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	metal ion binding;protein binding	"Pf00036, Pf13405, Pf13499"	1.002	1.064	0.955	0.869	0.673	0.698	0.56	0.534	0.419	4463.2	4470.1	4747.2	4262.3	3878	3002.1	3116.2	2499.3	2385	1872.3	9	9	9	9	9	9	9	9	9	9	4.623	0	62.18226671	11	421.9481722	11
FALSE	IsMasterProtein	P06132	Uroporphyrinogen decarboxylase OS=Homo sapiens GN=UROD PE=1 SV=2	47.68392371	15	91	15	1	367	40.761	6.14		7389	ENSG00000126088	UROD	1	metabolic process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding	Pf01208	0.999	1.003	0.958	0.847	0.712	0.647	0.499	0.317	0.132	8540.8	8535.6	8564.2	8183.2	7232.5	6082.2	5528.1	4265.3	2706.3	1128.6	17	17	17	17	17	17	17	17	17	17	17.33	0	166.4039891	14	1050.422544	13
FALSE	IsMasterProtein	P06213	Insulin receptor OS=Homo sapiens GN=INSR PE=1 SV=4	1.085383502	1	1	1	1	1382	156.232	6.2		3643	ENSG00000171105	INSR	19	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	membrane	catalytic activity;nucleotide binding;protein binding;receptor activity;signal transducer activity	"Pf00041, Pf00069, Pf00757, Pf01030, Pf07714"	0.961	1.052	1.118	0.799	0.697	0.598	0.406	0.306	0.233	124	119.2	130.5	138.6	99.1	86.4	74.1	50.4	37.9	28.9	1	1	1	1	1	1	1	1	1	1	0.026	0	0	1		
FALSE	IsMasterProtein	P06280	Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1	16.55011655	6	11	6	1	429	48.735	5.6		2717	ENSG00000102393	GLA	X	metabolic process;regulation of biological process	cytoplasm;extracellular;Golgi;organelle lumen;vacuole	catalytic activity;protein binding	Pf02065	0.924	0.964	0.803	0.566	0.325	0.179	0.093	0.058	0.04	1478.2	1365.5	1425.4	1187.6	836	481	264	138.1	85	58.8	5	5	5	5	5	5	5	5	5	5	0.638	0	19.36935377	6	84.52	5
FALSE	IsMasterProtein	P06396-2	Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN	31.7373461	21	55	21	1	731	80.591	5.85		2934	ENSG00000148180	GSN	9	cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus	metal ion binding;protein binding	Pf00626	0.979	1.055	0.906	0.461	0.226	0.131	0.076	0.063	0.04	8386.2	8211.6	8851.3	7595.4	3870.1	1892.2	1095.3	640.6	531.2	339.2	19	19	19	19	19	19	19	19	19	19	2.793	0	98.0639112	20	507.1990092	20
FALSE	IsMasterProtein	P06400	Retinoblastoma-associated protein OS=Homo sapiens GN=RB1 PE=1 SV=2	17.34913793	15	34	15	1	928	106.092	7.94		5925	ENSG00000139687	RB1	13	cell death;cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;protein binding	"Pf01857, Pf01858, Pf08934, Pf11934"	0.957	0.878	0.74	0.484	0.266	0.165	0.096	0.074	0.064	9160.6	8764.4	8043.3	6777.7	4435.5	2433.9	1511.7	878	676.5	590.1	15	15	15	15	15	15	15	15	15	15	0.954	0	67.19322908	15	478.9237965	15
FALSE	IsMasterProtein	P06454	Prothymosin alpha OS=Homo sapiens GN=PTMA PE=1 SV=2	38.73873874	7	194	7	1	111	12.196	3.78		5757	ENSG00000187514	PTMA	2	metabolic process	cytoplasm;nucleus	protein binding		0.987	1.012	1.093	0.88	0.795	0.689	0.615	0.591	0.595	20684.7	20420.6	20926.1	22617.2	18210.8	16434.9	14244.9	12713	12219.5	12312.4	8	8	8	8	8	8	8	8	8	8	4640.589	0	360.9322913	5	3758.34	7
FALSE	IsMasterProtein	P06493	Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3	55.55555556	14	95	11	1	297	34.074	8.4		983	ENSG00000170312	CDK1	10	cell death;cell differentiation;cell division;cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00069, Pf01636, Pf07714, Pf14531"	0.913	0.797	0.559	0.302	0.194	0.124	0.075	0.055	0.039	16299.8	14883.5	12984.7	9110.8	4930.6	3168.9	2021.2	1215.1	890.4	633.5	20	20	20	20	20	20	20	20	20	20	11.452	1	166.9796696	14	832.0139627	12
FALSE	IsMasterProtein	P06576	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	47.06994329	18	75	18	1	529	56.525	5.4		506	ENSG00000110955	ATP5B	12	cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;transport	cell surface;membrane;mitochondrion;nucleus;organelle lumen	catalytic activity;nucleotide binding;protein binding;transporter activity	"Pf00006, Pf00306, Pf02874"	0.907	0.767	0.538	0.34	0.223	0.159	0.099	0.075	0.054	12919.1	11722.5	9905.6	6946.9	4398.3	2885.8	2050.9	1279.2	967.8	703	22	22	22	22	22	22	22	22	22	22	3.758	0	131.7239809	18	863.5960721	16
FALSE	IsMasterProtein	P06703	Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	7.777777778	1	2	1	1	90	10.173	5.48		6277	ENSG00000197956	S100A6	1	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus	metal ion binding;protein binding;transporter activity	Pf01023																														0.585	0	2.526957989	1	0	1
FALSE	IsMasterProtein	P06730-2	Isoform 2 of Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E	39.91935484	9	44	9	1	248	28.76	6.42		1977	ENSG00000151247	EIF4E	4	defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol	protein binding;RNA binding	Pf01652	0.994	1.007	0.889	0.586	0.297	0.123	0.069	0.045	0.034	8113.1	8063.6	8171	7209.1	4754.9	2410.6	1001.2	556	363.6	275	10	10	10	10	10	10	10	10	10	10	4.08	0	82.64671278	8	476.48	8
FALSE	IsMasterProtein	P06733	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	84.10138249	36	1526	11	1	434	47.139	7.39		2023	ENSG00000074800	ENO1	1	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf00113, Pf03952, Pf13378"	1.001	1.057	1.029	0.92	0.792	0.769	0.63	0.483	0.181	161633.2	161803	170906.7	166252.5	148765.2	127995.8	124279.9	101908.3	78085.4	29231.3	69	69	69	69	69	69	69	69	69	69	1081.637	49	2928.221987	35	15980.92793	27
FALSE	IsMasterProtein	P06733-2	Isoform MBP-1 of Alpha-enolase OS=Homo sapiens GN=ENO1	84.16422287	26	992	2	1	341	36.905	6.28		2023		ENO1	1	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf00113, Pf03952, Pf13378"	0.891	0.945	0.909	0.844	0.76	0.809	0.671	0.667	0.173	1795.9	1599.3	1696.5	1632	1516.4	1365.7	1453.5	1204.7	1198.6	310.6	4	4	4	4	4	4	4	4	4	4	739.568	0	1937.172389	25	9756.419923	19
FALSE	IsMasterProtein	P06737	"Glycogen phosphorylase, liver form OS=Homo sapiens GN=PYGL PE=1 SV=4"	32.46753247	27	59	22	1	847	97.087	7.17		5836	ENSG00000100504	PYGL	14	cell death;metabolic process	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding	Pf00343	0.966	1.029	0.944	0.856	0.63	0.517	0.253	0.11	0.048	9178.2	8865.4	9444.7	8664.8	7856.4	5782.5	4743.2	2322.1	1007.5	436.9	24	24	24	24	24	24	24	24	24	24	2.162	5	114.6860781	27	604.9836769	23
FALSE	IsMasterProtein	P06744-2	Isoform 2 of Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI	43.76098418	25	308	24	1	569	64.284	8.91		2821	ENSG00000105220	GPI	19	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane	catalytic activity;protein binding	Pf00342	1.019	1.091	1.067	0.953	0.691	0.396	0.134	0.077	0.058	39460	40195.1	43056.7	42100.4	37591.9	27275.8	15639.6	5279.9	3020.9	2286.3	44	44	44	44	44	44	44	44	44	44	23.816	1	647.0989439	25	3559.15474	21
FALSE	IsMasterProtein	P06748	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	52.04081633	13	81	13	1	294	32.555	4.78		4869	ENSG00000181163	NPM1	5	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	enzyme regulator activity;protein binding;RNA binding	Pf03066	0.977	1.045	0.947	0.829	0.623	0.558	0.37	0.313	0.325	8431	8233.1	8810.7	7985	6990	5250.6	4707.8	3117.4	2642.4	2739.5	19	19	19	19	19	19	19	19	19	19	13.678	0	155.3990098	13	725.9339735	12
FALSE	IsMasterProtein	P06753	Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1	45.07042254	16	87	1	1	284	32.799	4.72		7170		TPM3	1	cellular component movement	cytoskeleton;cytosol	protein binding	"Pf00261, Pf12718"	0.948	0.998	1.043	0.908	0.682	0.565	0.414	0.399	0.314	674.9	640	673.3	704.1	612.9	460.6	381.2	279.6	269.1	211.8	1	1	1	1	1	1	1	1	1	1	15.496	0	257.9122702	16		
FALSE	IsMasterProtein	P07108-5	Isoform 5 of Acyl-CoA-binding protein OS=Homo sapiens GN=DBI	18.91891892	2	27	2	1	148	16.484	9.38		1622	ENSG00000155368	DBI	2	defense response;metabolic process;regulation of biological process;response to stimulus;transport	endoplasmic reticulum;Golgi;mitochondrion	protein binding	Pf00887	1.027	1.156	0.96	0.812	0.767	0.808	0.772	0.679	0.598	4124	4234	4765.7	3960.1	3349.1	3161.1	3330.2	3184	2799.1	2467.5	6	6	6	6	6	6	6	6	6	6	4.995	0	54.46779203	2	157.7154545	2
FALSE	IsMasterProtein	P07195	L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2	49.7005988	18	515	15	1	334	36.615	6.05		3945	ENSG00000111716	LDHB	12	metabolic process	cytoplasm;cytosol;membrane;mitochondrion	catalytic activity;nucleotide binding;protein binding	"Pf00056, Pf02866"	0.992	1.058	0.939	0.89	0.715	0.725	0.576	0.363	0.158	53217.2	52807.2	56290.2	49980	47379.6	38076.1	38574.2	30660.8	19314	8396.4	30	30	30	30	30	30	30	30	30	30	40.596	0	953.377674	18	4980.683855	14
FALSE	IsMasterProtein	P07197	Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=1 SV=3	1.637554585	2	14	1	1	916	102.411	4.91		4741	ENSG00000104722	NEFM	8	cell organization and biogenesis;cellular component movement;regulation of biological process;transport	cytoplasm	protein binding;structural molecule activity	"Pf00038, Pf02463, Pf04111, Pf07888, Pf07902, Pf10186, Pf10498, Pf12128, Pf13166, Pf13863"	0.912	0.996	1.055	0.921	0.778	0.726	0.38	0.241	0.145	428.5	390.7	426.7	452.1	394.8	333.5	311.2	162.8	103.1	62.2	1	1	1	1	1	1	1	1	1	1	0.122	0	21.93324065	2	119.8533333	1
FALSE	IsMasterProtein	P07205	Phosphoglycerate kinase 2 OS=Homo sapiens GN=PGK2 PE=1 SV=3	16.78657074	7	164	2	1	417	44.767	8.54		5232	ENSG00000170950	PGK2	6	cellular component movement;metabolic process	cytoplasm;nucleus	catalytic activity;nucleotide binding	Pf00162	1.012	1.317	1.013	0.929	0.478	0.103	0.063	0.048	0.06	884.6	895.1	1165.1	896.1	821.5	422.5	91.2	55.5	42.1	53.5	2	2	2	2	2	2	2	2	2	2	1.683	0	378.9391999	7	1872.94781	6
FALSE	IsMasterProtein	P07225	Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1	11.39053254	8	15	8	1	676	75.074	5.67		5627	ENSG00000184500	PROS1	3	cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;extracellular;membrane;organelle lumen	enzyme regulator activity;metal ion binding;protein binding	"Pf00054, Pf00594, Pf02210, Pf06247, Pf07645, Pf12662, Pf12947, Pf14670"	0.87	0.903	0.747	0.614	0.362	0.224	0.115	0.066	0.047	2417.9	2103.9	2183.7	1807.2	1484.1	875.1	541.4	277.2	160.7	114	6	6	6	6	6	6	6	6	6	6	0.567	0	26.77386189	8	125.1	7
FALSE	IsMasterProtein	P07237	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	61.81102362	31	266	3	1	508	57.081	4.87		5034	ENSG00000185624	P4HB	17	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;extracellular;membrane;organelle lumen	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00085, Pf01216, Pf13098, Pf13848, Pf13899, Pf13905"	0.97	1.014	0.942	0.844	0.72	0.664	0.445	0.191	0.107	37969.5	36843.1	38506.9	35777.5	32062.4	27339.7	25203.7	16910.4	7235.5	4052.2	38	38	38	38	38	38	38	38	38	38	13.125	35	457.528465	31	2272.812627	30
FALSE	IsMasterProtein	P07311	Acylphosphatase-1 OS=Homo sapiens GN=ACYP1 PE=1 SV=2	81.81818182	8	30	8	1	99	11.254	9.31		97	ENSG00000119640	ACYP1	14	metabolic process		catalytic activity	Pf00708	1.034	1.094	1.044	0.981	0.785	0.551	0.251	0.147	0.123	2694.4	2784.9	2947.1	2814.3	2643.8	2114.3	1485.9	675.8	395.4	332.2	8	8	8	8	8	8	8	8	8	8	22.714	0	55.962327	7	378.5030769	8
FALSE	IsMasterProtein	P07332	Tyrosine-protein kinase Fes/Fps OS=Homo sapiens GN=FES PE=1 SV=3	0.729927007	1	1	1	1	822	93.438	6.73		2242	ENSG00000182511	FES	15	cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;defense response;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;Golgi;membrane	catalytic activity;nucleotide binding;protein binding	"Pf00017, Pf00069, Pf00611, Pf07714, Pf08317"	0.633	0.641	0.476	0.375	0.122	0.111	0.059	0.067	0.01	259.9	164.5	166.6	123.6	97.4	31.8	28.9	15.4	17.5	1.6	1	1	1	1	1	1	1	1	1	1	0.049	0	1.773907304	1		
FALSE	IsMasterProtein	P07339	Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	38.59223301	12	56	12	1	412	44.524	6.54		1509	ENSG00000117984	CTSD	11	cell death;cell organization and biogenesis;metabolic process	extracellular;membrane;mitochondrion;organelle lumen;vacuole	catalytic activity;protein binding	"Pf00026, Pf07966, Pf14541, Pf14543"	0.992	1.041	0.896	0.609	0.305	0.174	0.089	0.062	0.045	8559.1	8493.4	8912.4	7668.9	5212.3	2612.2	1488.8	760.1	532.2	387	16	16	16	16	16	16	16	16	16	16	5.7	0	110.6934044	12	826.2446154	12
FALSE	IsMasterProtein	P07355	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	60.17699115	20	142	3	1	339	38.58	7.75		302	ENSG00000182718	ANXA2	15	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;endosome;extracellular;membrane;nucleus	enzyme regulator activity;metal ion binding;protein binding;RNA binding	Pf00191	1.019	1.108	0.994	0.893	0.647	0.233	0.098	0.062	0.052	17107.1	17425.8	18957.1	17003.9	15285	11065.8	3979	1675.7	1061.2	884.1	25	25	25	25	25	25	25	25	25	25	15.156	23	283.6384207	19	1584.039912	20
FALSE	IsMasterProtein	P07384	Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1	48.7394958	31	134	31	1	714	81.838	5.67		823	ENSG00000014216	CAPN1	11	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;mitochondrion;vacuole	catalytic activity;metal ion binding;protein binding	"Pf00648, Pf01067, Pf13833"	0.941	0.971	0.873	0.749	0.61	0.514	0.326	0.19	0.091	14439.3	13585.2	14016.8	12606.4	10818	8808.7	7416	4705.9	2737.8	1309.6	36	36	36	36	36	36	36	36	36	36	9	0	231.8513865	30	1062.841091	30
FALSE	IsMasterProtein	P07437	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	72.74774775	24	477	4	1	444	49.639	4.89		203068	ENSG00000196230; ENSG00000235067; ENSG00000229684; ENSG00000232421; ENSG00000227739; ENSG00000224156; ENSG00000232575; ENSG00000183311	TUBB	6; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_APD_CTG1; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_QBL_CTG1	cell division;cell organization and biogenesis;cellular component movement;defense response;metabolic process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	catalytic activity;nucleotide binding;protein binding;structural molecule activity	"Pf00091, Pf03953, Pf10644"	0.826	0.735	0.594	0.438	0.282	0.14	0.071	0.048	0.036	21100.5	17421.7	15509.2	12531.3	9250.1	5940.7	2955.1	1489.1	1023.3	761.8	10	10	10	10	10	10	10	10	10	10	245.209	2	826.9625182	24	4918.58493	23
FALSE	IsMasterProtein	P07686	Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3	36.69064748	21	65	18	1	556	63.071	6.76		3074		HEXB	5	cell death;cell organization and biogenesis;cellular component movement;cellular homeostasis;metabolic process;regulation of biological process;reproduction;response to stimulus	membrane;organelle lumen;vacuole	catalytic activity;protein binding	"Pf00728, Pf14845"	0.929	0.99	0.782	0.613	0.374	0.229	0.104	0.051	0.036	8444.3	7848.8	8361.9	6604.5	5176.6	3158.2	1937.6	876.7	427.2	304.1	17	17	17	17	17	17	17	17	17	17	3.642	3	118.7970122	21	684.9517921	19
FALSE	IsMasterProtein	P07711	Cathepsin L1 OS=Homo sapiens GN=CTSL PE=1 SV=2	13.51351351	4	16	4	1	333	37.54	5.45		1514	ENSG00000135047	CTSL; CTSL1	9	cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;nucleus;organelle lumen;vacuole	catalytic activity;protein binding	"Pf00112, Pf08246"	0.966	1.032	0.86	0.735	0.509	0.403	0.292	0.239	0.164	1328	1282.3	1370.2	1142.5	975.5	676.4	535.6	387.2	317.5	218.2	3	3	3	3	3	3	3	3	3	3	1.031	0	29.74329352	4	255.9744105	4
FALSE	IsMasterProtein	P07737	Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	87.85714286	10	266	10	1	140	15.045	8.27		5216	ENSG00000108518	PFN1	17	cell death;cell organization and biogenesis;coagulation;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	enzyme regulator activity;nucleotide binding;protein binding;RNA binding	Pf00235	1.033	1.094	1.044	0.911	0.659	0.339	0.125	0.076	0.065	34683.3	35810.9	37931	36194.7	31590.7	22844.4	11754.8	4318.8	2639.2	2248	19	19	19	19	19	19	19	19	19	19	214.443	0	575.8854384	9	3771.490204	10
FALSE	IsMasterProtein	P07738	Bisphosphoglycerate mutase OS=Homo sapiens GN=BPGM PE=1 SV=2	26.25482625	6	11	6	1	259	29.987	6.54		669	ENSG00000172331	BPGM	7	metabolic process;regulation of biological process	cytosol	catalytic activity	Pf00300	0.974	1.033	0.917	0.724	0.347	0.126	0.079	0.053	0.029	1473.6	1435.4	1522.1	1351.7	1067.1	511.6	186.2	116.4	78.1	43.2	5	5	5	5	5	5	5	5	5	5	1.512	0	23.34384751	6	85.05	5
FALSE	IsMasterProtein	P07741	Adenine phosphoribosyltransferase OS=Homo sapiens GN=APRT PE=1 SV=2	60.55555556	10	76	10	1	180	19.595	6.02		353	ENSG00000198931	APRT	16	metabolic process;response to stimulus;transport	cytoplasm;cytosol;nucleus	catalytic activity;nucleotide binding	Pf00156	0.974	0.998	0.915	0.811	0.654	0.467	0.209	0.095	0.068	7639.6	7441.6	7624.7	6990.9	6197.8	4994.4	3571.1	1599.1	727.6	515.9	12	12	12	12	12	12	12	12	12	12	9	0	121.3629965	9	607.8144379	8
FALSE	IsMasterProtein	P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	40.74074074	56	309	55	1	1512	170.483	7.33		2058	ENSG00000136628	EPRS	1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00458, Pf00587, Pf00749, Pf01406, Pf03129, Pf03950, Pf09180, Pf14497"	0.929	0.737	0.385	0.181	0.121	0.078	0.054	0.041	0.032	73193.7	67980.3	53947.8	28191.3	13251.7	8891.5	5676.1	3949.3	2970	2324.8	74	74	74	74	74	74	74	74	74	74	6.807	1	585.1337748	56	3670.058068	52
FALSE	IsMasterProtein	P07858	Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	12.97935103	5	10	5	1	339	37.797	6.3		1508	ENSG00000164733	CTSB	8	cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cell surface;cytoplasm;extracellular;membrane;mitochondrion;organelle lumen;vacuole	catalytic activity;protein binding	"Pf00112, Pf08127"	0.786	0.643	0.38	0.243	0.186	0.182	0.158	0.142	0.125	2269.3	1782.9	1459.3	862.6	551.7	421.6	413.5	358	321.4	283.2	3	3	3	3	3	3	3	3	3	3	0.896	0	18.24762917	5	97.12	5
FALSE	IsMasterProtein	P07900-2	Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1	54.44964871	43	1181	20	1	854	98.099	5.16		3320	ENSG00000080824	HSP90AA1	14	cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf00183, Pf02518, Pf13589"	1.002	1.064	0.998	0.665	0.274	0.136	0.071	0.052	0.045	70976.5	71106.9	75549.1	70832.1	47199.9	19480.6	9651	5043.5	3708.4	3203.2	42	42	42	42	42	42	42	42	42	42	53.287	8	2454.625619	43	11738.2027	38
FALSE	IsMasterProtein	P07902	Galactose-1-phosphate uridylyltransferase OS=Homo sapiens GN=GALT PE=1 SV=3	12.92875989	4	8	4	1	379	43.336	6.99		2592	ENSG00000213930	GALT	9	metabolic process	cytosol;Golgi	catalytic activity;metal ion binding;protein binding	"Pf01087, Pf02744"	0.964	1.006	1.001	0.871	0.616	0.447	0.213	0.134	0.082	780.4	752	784.8	781.5	680	480.8	349	165.9	104.6	63.9	4	4	4	4	4	4	4	4	4	4	0.624	0	17.86111331	4	111.53	4
FALSE	IsMasterProtein	P07910-2	Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC	60.06825939	18	76	18	1	293	32.318	5.08		3183	ENSG00000092199	HNRNPC	14	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	cytosol;membrane;nucleus;spliceosomal complex	DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	0.768	0.567	0.304	0.171	0.099	0.069	0.051	0.045	0.049	20583.2	15808	11673	6249.6	3510.5	2033.9	1429.4	1048.6	929.1	1002.5	22	22	22	22	22	22	22	22	22	22	11.217	0	139.5383221	18	791.5802584	16
FALSE	IsMasterProtein	P07919	"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens GN=UQCRH PE=1 SV=2"	43.95604396	4	14	4	1	91	10.732	4.44		7388	ENSG00000173660	UQCRH	1	cell organization and biogenesis;metabolic process;transport	membrane;mitochondrion	catalytic activity;protein binding;transporter activity	Pf02320	0.912	0.855	0.767	0.713	0.486	0.549	0.565	0.504	0.686	447.8	408.4	382.7	343.6	319.4	217.7	245.9	253	225.7	307.3	2	2	2	2	2	2	2	2	2	2	2.728	0	30.50307536	4	141.2775214	4
FALSE	IsMasterProtein	P07948	Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN PE=1 SV=3	17.96875	10	25	8	1	512	58.537	7.11		4067	ENSG00000254087	LYN	8	cell communication;cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;Golgi;membrane;nucleus;vacuole	catalytic activity;nucleotide binding;protein binding;signal transducer activity	"Pf00017, Pf00018, Pf00069, Pf07653, Pf07714, Pf14604"	0.983	1.108	0.88	0.711	0.399	0.19	0.103	0.079	0.061	4156.5	4085.6	4603.6	3658	2955.5	1658.7	788.3	426.5	327	252.1	8	8	8	8	8	8	8	8	8	8	1.009	1	42.21718502	10	221.0381119	7
